?procedureReference	?eurovocTopic	?eurovocLabel
COD-2018-0152	<http://eurovoc.europa.eu/5796>	" EU visa policy"@en
COD-2018-0152	<http://eurovoc.europa.eu/6541>	"EU migration policy"@en
COD-2018-0152	<http://eurovoc.europa.eu/c_8a658bb0>	"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice"@en
COD-2018-0152	<http://eurovoc.europa.eu/5630>	"Europol"@en
COD-2018-0152	<http://eurovoc.europa.eu/8439>	"Frontex"@en
COD-2018-0152	<http://eurovoc.europa.eu/6626>	"Schengen Information System"@en
COD-2018-0152	<http://eurovoc.europa.eu/453>	"access to information"@en
COD-2018-0152	<http://eurovoc.europa.eu/7410>	"biometrics"@en
COD-2018-0152	<http://eurovoc.europa.eu/5540>	"border control"@en
COD-2018-0152	<http://eurovoc.europa.eu/4488>	"data processing"@en
COD-2018-0152	<http://eurovoc.europa.eu/616>	"exchange of information"@en
COD-2018-0152	<http://eurovoc.europa.eu/5649>	"external border of the EU"@en
COD-2018-0152	<http://eurovoc.europa.eu/4003>	"foreign national"@en
COD-2018-0152	<http://eurovoc.europa.eu/1915>	"illegal migration"@en
COD-2018-0152	<http://eurovoc.europa.eu/4359>	"information system"@en
COD-2018-0152	<http://eurovoc.europa.eu/4004>	"residence permit"@en
COD-2018-0152	<http://eurovoc.europa.eu/5684>	"systems interconnection"@en
COD-2018-0153	<http://eurovoc.europa.eu/6541>	"EU migration policy"@en
COD-2018-0153	<http://eurovoc.europa.eu/5552>	"EU police cooperation"@en
COD-2018-0153	<http://eurovoc.europa.eu/2894>	"activity report"@en
COD-2018-0153	<http://eurovoc.europa.eu/3075>	"aid to refugees"@en
COD-2018-0153	<http://eurovoc.europa.eu/5181>	"data protection"@en
COD-2018-0153	<http://eurovoc.europa.eu/3367>	"diplomatic representation"@en
COD-2018-0153	<http://eurovoc.europa.eu/616>	"exchange of information"@en
COD-2018-0153	<http://eurovoc.europa.eu/5649>	"external border of the EU"@en
COD-2018-0153	<http://eurovoc.europa.eu/1915>	"illegal migration"@en
COD-2018-0153	<http://eurovoc.europa.eu/3422>	"information network"@en
COD-2018-0153	<http://eurovoc.europa.eu/1911>	"return migration"@en
COD-2018-0153	<http://eurovoc.europa.eu/538>	"rights of the individual"@en
COD-2018-0153	<http://eurovoc.europa.eu/2300>	"third country"@en
COD-2018-0153	<http://eurovoc.europa.eu/5933>	"trafficking in human beings"@en
COD-2018-0249	<http://eurovoc.europa.eu/5796>	" EU visa policy"@en
COD-2018-0249	<http://eurovoc.europa.eu/5844>	"EU financing arrangements"@en
COD-2018-0249	<http://eurovoc.europa.eu/6541>	"EU migration policy"@en
COD-2018-0249	<http://eurovoc.europa.eu/c_ff638149>	"asylum seeker"@en
COD-2018-0249	<http://eurovoc.europa.eu/6030>	"data collection"@en
COD-2018-0249	<http://eurovoc.europa.eu/5649>	"external border of the EU"@en
COD-2018-0249	<http://eurovoc.europa.eu/1052>	"fund (EU)"@en
COD-2018-0249	<http://eurovoc.europa.eu/584>	"human rights"@en
COD-2018-0249	<http://eurovoc.europa.eu/5595>	"personal data"@en
COD-2018-0249	<http://eurovoc.europa.eu/5518>	"powers of the EP"@en
INI-2018-2115	<http://eurovoc.europa.eu/5788>	"common foreign and security policy"@en
INI-2018-2115	<http://eurovoc.europa.eu/3027>	"computer crime"@en
INI-2018-2115	<http://eurovoc.europa.eu/6770>	"disinformation"@en
INI-2018-2115	<http://eurovoc.europa.eu/441>	"dissemination of information"@en
INI-2018-2115	<http://eurovoc.europa.eu/2808>	"election campaign publicity"@en
INI-2018-2115	<http://eurovoc.europa.eu/1619>	"freedom of expression"@en
INI-2018-2115	<http://eurovoc.europa.eu/c_4e75f061>	"information warfare"@en
INI-2018-2115	<http://eurovoc.europa.eu/7385>	"political propaganda"@en
INI-2018-2115	<http://eurovoc.europa.eu/c_324b44f1>	"social media"@en
INI-2018-2115	<http://eurovoc.europa.eu/2300>	"third country"@en
NLE-2018-0316	<http://eurovoc.europa.eu/4040>	"EU relations"@en
NLE-2018-0316	<http://eurovoc.europa.eu/c_8a658bb0>	"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice"@en
NLE-2018-0316	<http://eurovoc.europa.eu/1509>	"Iceland"@en
NLE-2018-0316	<http://eurovoc.europa.eu/1649>	"Liechtenstein"@en
NLE-2018-0316	<http://eurovoc.europa.eu/2084>	"Norway"@en
NLE-2018-0316	<http://eurovoc.europa.eu/5405>	"Schengen Agreement"@en
NLE-2018-0316	<http://eurovoc.europa.eu/4324>	"Switzerland"@en
NLE-2018-0316	<http://eurovoc.europa.eu/2285>	"associated country"@en
